iter	Passed	Remaining
0	0	95
1	1	89
2	2	84
3	3	79
4	4	78
5	4	77
6	5	78
7	6	78
8	7	79
9	8	78
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	69
18	15	67
19	16	67
20	17	66
21	18	65
22	19	65
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	54	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	79	6
93	81	5
94	81	4
95	82	3
96	84	2
97	85	1
98	86	0
99	87	0
