iter	Passed	Remaining
0	132	132632
1	133	66713
2	134	44751
3	135	33722
4	136	27166
5	137	22755
6	138	19612
7	139	17257
8	140	15449
9	141	14012
10	142	12801
11	143	11797
12	144	10938
13	144	10208
14	146	9590
15	147	9067
16	148	8571
17	149	8131
18	149	7733
19	150	7386
20	151	7073
21	152	6780
22	153	6510
23	154	6265
24	154	6041
25	155	5834
26	156	5640
27	157	5468
28	158	5301
29	159	5153
30	160	5007
31	160	4867
32	161	4739
33	162	4618
34	163	4505
35	164	4401
36	165	4301
37	166	4204
38	166	4112
39	167	4023
40	168	3940
41	169	3860
42	169	3783
43	170	3710
44	171	3638
45	172	3568
46	172	3503
47	173	3442
48	174	3389
49	175	3331
50	175	3273
51	176	3218
52	177	3164
53	177	3113
54	178	3064
55	179	3018
56	179	2976
57	180	2937
58	181	2897
59	182	2856
60	183	2817
61	183	2779
62	184	2742
63	185	2707
64	186	2676
65	187	2647
66	187	2616
67	188	2579
68	188	2549
69	189	2518
70	190	2489
71	190	2460
72	191	2431
73	192	2406
74	193	2381
75	193	2355
76	194	2331
77	195	2307
78	195	2284
79	196	2260
80	197	2238
81	198	2216
82	198	2196
83	199	2176
84	200	2153
85	200	2134
86	201	2112
87	201	2092
88	202	2073
89	203	2057
90	204	2041
91	205	2024
92	205	2006
93	206	1990
94	207	1973
95	207	1956
96	208	1940
97	209	1925
98	209	1910
99	210	1895
100	211	1881
101	211	1864
102	212	1850
103	213	1836
104	213	1821
105	214	1808
106	215	1795
107	215	1782
108	216	1770
109	217	1758
110	218	1746
111	218	1733
112	219	1721
113	219	1709
114	220	1697
115	221	1685
116	221	1675
117	222	1664
118	223	1653
119	224	1644
120	224	1634
121	225	1625
122	226	1612
123	226	1602
124	227	1592
125	228	1583
126	229	1575
127	229	1564
128	230	1554
129	230	1544
130	231	1535
131	232	1526
132	232	1518
133	233	1509
134	234	1500
135	234	1491
136	235	1483
137	236	1474
138	236	1466
139	237	1457
140	237	1449
141	238	1441
142	239	1433
143	239	1425
144	240	1417
145	241	1410
146	241	1402
147	242	1395
148	243	1388
149	243	1381
150	244	1373
151	244	1366
152	245	1359
153	246	1353
154	246	1346
155	247	1339
156	248	1332
157	248	1326
158	249	1319
159	250	1312
160	250	1306
161	251	1299
162	252	1294
163	252	1288
164	253	1282
165	253	1275
166	254	1269
167	255	1264
168	255	1258
169	256	1252
170	257	1246
171	257	1241
172	258	1235
173	259	1230
174	259	1224
175	260	1219
176	261	1214
177	261	1209
178	262	1204
179	263	1199
180	263	1192
181	264	1187
182	264	1182
